SITE,OBS_YEAR,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,SITEVISITID.x,METHOD,REGION_NAME,ANALYSIS_SEC,ANALYSIS_YEAR,ANALYSIS_STRATA,DATE_.x,LATITUDE.x,LONGITUDE.x,DEPTH,ANALYSIS_SCHEME,Watershed,RICHNESS
TUT-00056,2008,SAMOA,Tutuila,Forereef,Mid,1267,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-20,-14.290533,-170.748417,6.5,RAMP_BASIC,Aasu,37
TUT-00012,2008,SAMOA,Tutuila,Forereef,Mid,1263,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-20,-14.28988,-170.75945,10,RAMP_BASIC,Aasu,68
TUT-00421,2010,SAMOA,Tutuila,Forereef,Shallow,2217,nSPC,American Samoa,TUT_NW,2010,ForereefShallow,2010-02-22,-14.29056,-170.75977,3,TUT10_12,Aasu,36
TUT-00503,2012,SAMOA,Tutuila,Forereef,Mid,4462,nSPC,American Samoa,TUT_NW,2012,ForereefMid,2012-04-02,-14.28200201,-170.73300641,8.05,TUT10_12,Aasu,50
TUT-00596,2012,SAMOA,Tutuila,Forereef,Mid,4469,nSPC,American Samoa,TUT_NW,2012,ForereefMid,2012-04-02,-14.29241887,-170.75163192,10.7,TUT10_12,Aasu,58
TUT-00563,2012,SAMOA,Tutuila,Forereef,Mid,4468,nSPC,American Samoa,TUT_NW,2012,ForereefMid,2012-04-02,-14.28918606,-170.74226322,12.5,TUT10_12,Aasu,42
TUT-00276,2010,SAMOA,Tutuila,Forereef,Deep,2216,nSPC,American Samoa,TUT_NW,2010,ForereefDeep,2010-02-22,-14.28876,-170.75703,21.5,TUT10_12,Aasu,29
TUT-00527,2012,SAMOA,Tutuila,Forereef,Deep,4463,nSPC,American Samoa,TUT_NW,2012,ForereefDeep,2012-04-02,-14.2876572,-170.75897279,24.8,TUT10_12,Aasu,37
TUT-00206,2010,SAMOA,Tutuila,Forereef,Deep,2335,nSPC,American Samoa,TUT_NW,2010,ForereefDeep,2010-03-07,-14.27647,-170.73969,25,TUT10_12,Aasu,54
TUT-00548,2012,SAMOA,Tutuila,Forereef,Deep,4467,nSPC,American Samoa,TUT_NW,2012,ForereefDeep,2012-04-02,-14.27824734,-170.73565719,27.25,TUT10_12,Aasu,49
TUT-01110,2015,SAMOA,Tutuila,Forereef,Shallow,8274,nSPC,American Samoa,TUT_SW,2015,ForereefShallow,2015-03-06,-14.33655119,-170.79437845,3.75,AS_SANCTUARY,Afao - Asili,37
TUT-02393,2016,SAMOA,Tutuila,Forereef,Mid,9311,nSPC,American Samoa,TUT_SW,2016,ForereefMid,2016-04-16,-14.335391,-170.802619,10.05,AS_SANCTUARY,Afao - Asili,54
TUT-02369,2016,SAMOA,Tutuila,Forereef,Mid,9322,nSPC,American Samoa,TUT_SW,2016,ForereefMid,2016-04-16,-14.335842,-170.795809,13.4,AS_SANCTUARY,Afao - Asili,56
TUT-01250,2015,SAMOA,Tutuila,Forereef,Deep,8243,nSPC,American Samoa,TUT_SW,2015,ForereefDeep,2015-03-05,-14.33824391,-170.80395067,23.65,AS_SANCTUARY,Afao - Asili,51
TUT-00451,2010,SAMOA,Tutuila,Forereef,Shallow,2269,nSPC,American Samoa,TUT_SW,2010,ForereefShallow,2010-02-28,-14.33398,-170.8015,3.5,TUT10_12,Afao - Asili,47
TUT-00242,2010,SAMOA,Tutuila,Forereef,Shallow,2191,nSPC,American Samoa,TUT_SW,2010,ForereefShallow,2010-02-20,-14.33475,-170.80322,4.5,TUT10_12,Afao - Asili,64
TUT-00546,2012,SAMOA,Tutuila,Forereef,Mid,4478,nSPC,American Samoa,TUT_SW,2012,ForereefMid,2012-04-03,-14.33572196,-170.79618509,13.05,TUT10_12,Afao - Asili,49
TUT-02346,2016,SAMOA,Tutuila,Forereef,Shallow,9466,nSPC,American Samoa,TUT_NE,2016,ForereefShallow,2016-04-29,-14.251465,-170.642726,4.35,AS_SANCTUARY,Afono,55
TUT-01154,2015,SAMOA,Tutuila,Forereef,Shallow,8136,nSPC,American Samoa,TUT_NE,2015,ForereefShallow,2015-02-27,-14.25285554,-170.64565684,5.8,AS_SANCTUARY,Afono,48
TUT-01046,2015,SAMOA,Tutuila,Forereef,Mid,8135,nSPC,American Samoa,TUT_NE,2015,ForereefMid,2015-02-27,-14.25527698,-170.65260736,9.6,AS_SANCTUARY,Afono,55
TUT-02325,2016,SAMOA,Tutuila,Forereef,Mid,9461,nSPC,American Samoa,TUT_NE,2016,ForereefMid,2016-04-29,-14.251471,-170.641196,9.75,AS_SANCTUARY,Afono,50
TUT-00014,2008,SAMOA,Tutuila,Forereef,Mid,1258,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-19,-14.25372,-170.65259,12,RAMP_BASIC,Afono,48
TUT-00052,2008,SAMOA,Tutuila,Forereef,Deep,1260,nSPC,American Samoa,Tutuila,2008,ForereefDeep,2008-02-19,-14.24765,-170.645033,21.5,RAMP_BASIC,Afono,47
TUT-00598,2012,SAMOA,Tutuila,Forereef,Deep,4569,nSPC,American Samoa,TUT_NE,2012,ForereefDeep,2012-04-06,-14.24707403,-170.64620375,21.85,TUT10_12,Afono,36
TUT-01112,2015,SAMOA,Tutuila,Forereef,Mid,8209,nSPC,American Samoa,TUT_NE,2015,ForereefMid,2015-03-03,-14.26408871,-170.56189673,12.35,AS_SANCTUARY,Alao,54
TUT-00003,2008,SAMOA,Tutuila,Forereef,Mid,1283,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-23,-14.26753,-170.56151,11.25,RAMP_BASIC,Alao,48
TUT-00594,2012,SAMOA,Tutuila,Forereef,Shallow,4584,nSPC,American Samoa,TUT_NE,2012,ForereefShallow,2012-04-07,-14.26082437,-170.55996143,4.45,TUT10_12,Alao,29
TUT-00246,2010,SAMOA,Tutuila,Forereef,Shallow,2243,nSPC,American Samoa,TUT_NE,2010,ForereefShallow,2010-02-25,-14.2623,-170.56104,5.5,TUT10_12,Alao,60
TUT-00244,2010,SAMOA,Tutuila,Forereef,Mid,2242,nSPC,American Samoa,TUT_NE,2010,ForereefMid,2010-02-25,-14.25912,-170.55797,13.5,TUT10_12,Alao,70
TUT-01239,2015,SAMOA,Tutuila,Forereef,Deep,8311,nSPC,American Samoa,TUT_SE,2015,ForereefDeep,2015-03-12,-14.28362626,-170.62850595,21.1,AS_SANCTUARY,Alega,53
TUT-00001,2008,SAMOA,Tutuila,Forereef,Mid,1292,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-25,-14.28443,-170.63793,11.25,RAMP_BASIC,Alega,42
TUT-00307,2010,SAMOA,Tutuila,Forereef,Shallow,2134,nSPC,American Samoa,TUT_SE,2010,ForereefShallow,2010-02-17,-14.28602,-170.63841,4.5,TUT10_12,Alega,49
TUT-00226,2010,SAMOA,Tutuila,Forereef,Shallow,2138,nSPC,American Samoa,TUT_SE,2010,ForereefShallow,2010-02-17,-14.28314,-170.63144,4.5,TUT10_12,Alega,53
TUT-00423,2010,SAMOA,Tutuila,Forereef,Shallow,2253,nSPC,American Samoa,TUT_SE,2010,ForereefShallow,2010-02-26,-14.28185,-170.63768,6.5,TUT10_12,Alega,50
TUT-00504,2012,SAMOA,Tutuila,Forereef,Mid,4453,nSPC,American Samoa,TUT_SE,2012,ForereefMid,2012-04-01,-14.28248447,-170.6364887,11.85,TUT10_12,Alega,38
TUT-00513,2012,SAMOA,Tutuila,Forereef,Mid,4444,nSPC,American Samoa,TUT_SE,2012,ForereefMid,2012-04-01,-14.288335,-170.63475,12.7,TUT10_12,Alega,39
TUT-00452,2010,SAMOA,Tutuila,Forereef,Mid,2249,nSPC,American Samoa,TUT_SE,2010,ForereefMid,2010-02-26,-14.28579,-170.63815,13.25,TUT10_12,Alega,62
TUT-01379,2015,SAMOA,Tutuila,Forereef,Mid,8273,nSPC,American Samoa,TUT_SW,2015,ForereefMid,2015-03-06,-14.32688727,-170.83272927,14.1,AS_SANCTUARY,Amanave,40
TUT-00006,2008,SAMOA,Tutuila,Forereef,Mid,1269,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-21,-14.32808,-170.8319,12,RAMP_BASIC,Amanave,52
TUT-00214,2010,SAMOA,Tutuila,Forereef,Shallow,2190,nSPC,American Samoa,TUT_SW,2010,ForereefShallow,2010-02-20,-14.3265,-170.83542,4.5,TUT10_12,Amanave,44
TUT-00337,2010,SAMOA,Tutuila,Forereef,Shallow,2273,nSPC,American Samoa,TUT_SW,2010,ForereefShallow,2010-02-28,-14.32524,-170.84183,5.5,TUT10_12,Amanave,51
TUT-00262,2010,SAMOA,Tutuila,Forereef,Shallow,2272,nSPC,American Samoa,TUT_SW,2010,ForereefShallow,2010-02-28,-14.32669,-170.83447,6,TUT10_12,Amanave,65
TUT-00353,2010,SAMOA,Tutuila,Forereef,Mid,2193,nSPC,American Samoa,TUT_SW,2010,ForereefMid,2010-02-20,-14.32988,-170.83168,10.5,TUT10_12,Amanave,71
TUT-01095,2015,SAMOA,Tutuila,Forereef,Shallow,8179,nSPC,American Samoa,TUT_SE,2015,ForereefShallow,2015-03-02,-14.2831396,-170.59820613,4.1,AS_SANCTUARY,Amouli,31
TUT-01240,2015,SAMOA,Tutuila,Forereef,Mid,8174,nSPC,American Samoa,TUT_SE,2015,ForereefMid,2015-03-02,-14.28007015,-170.58951376,10.4,AS_SANCTUARY,Amouli,54
TUT-01226,2015,SAMOA,Tutuila,Forereef,Mid,8149,nSPC,American Samoa,TUT_SE,2015,ForereefMid,2015-02-28,-14.28648759,-170.60070268,15.2,AS_SANCTUARY,Amouli,47
TUT-00065,2008,SAMOA,Tutuila,Forereef,Deep,1285,nSPC,American Samoa,Tutuila,2008,ForereefDeep,2008-02-23,-14.284133,-170.594867,22,RAMP_BASIC,Amouli,51
TUT-00661,2012,SAMOA,Tutuila,Forereef,Shallow,4578,nSPC,American Samoa,TUT_SE,2012,ForereefShallow,2012-04-07,-14.28113121,-170.59382499,4.1,TUT10_12,Amouli,48
TUT-00317,2010,SAMOA,Tutuila,Forereef,Mid,2175,nSPC,American Samoa,TUT_SE,2010,ForereefMid,2010-02-19,-14.28333,-170.59865,13.5,TUT10_12,Amouli,57
TUT-00537,2012,SAMOA,Tutuila,Forereef,Mid,4599,nSPC,American Samoa,TUT_SE,2012,ForereefMid,2012-04-08,-14.2815887,-170.59484926,14.6,TUT10_12,Amouli,39
TUT-00534,2012,SAMOA,Tutuila,Forereef,Mid,4601,nSPC,American Samoa,TUT_SE,2012,ForereefMid,2012-04-08,-14.2852733,-170.60012483,18.3,TUT10_12,Amouli,29
TUT-00313,2010,SAMOA,Tutuila,Forereef,Deep,2163,nSPC,American Samoa,TUT_SE,2010,ForereefDeep,2010-02-19,-14.27946,-170.58725,25,TUT10_12,Amouli,36
TUT-01062,2015,SAMOA,Tutuila,Forereef,Shallow,8161,nSPC,American Samoa,TUT_NW,2015,ForereefShallow,2015-03-01,-14.29200682,-170.77328615,4.25,AS_SANCTUARY,Aoloau Sasae,40
TUT-02302,2016,SAMOA,Tutuila,Forereef,Shallow,9411,nSPC,American Samoa,TUT_NW,2016,ForereefShallow,2016-04-26,-14.292735,-170.780252,6.9,AS_SANCTUARY,Aoloau Sasae,47
TUT-01199,2015,SAMOA,Tutuila,Forereef,Mid,8216,nSPC,American Samoa,TUT_NW,2015,ForereefMid,2015-03-04,-14.28694172,-170.76149466,9.25,AS_SANCTUARY,Aoloau Sasae,63
TUT-02290,2016,SAMOA,Tutuila,Forereef,Mid,9412,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.288525,-170.768884,11.2,AS_SANCTUARY,Aoloau Sasae,59
TUT-02285,2016,SAMOA,Tutuila,Forereef,Mid,9407,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.291442,-170.773782,11.25,AS_SANCTUARY,Aoloau Sasae,55
TUT-01043,2015,SAMOA,Tutuila,Forereef,Mid,8163,nSPC,American Samoa,TUT_NW,2015,ForereefMid,2015-03-01,-14.28764462,-170.78198707,12.1,AS_SANCTUARY,Aoloau Sasae,55
TUT-01257,2015,SAMOA,Tutuila,Forereef,Mid,8164,nSPC,American Samoa,TUT_NW,2015,ForereefMid,2015-03-01,-14.29101725,-170.77617304,13.2,AS_SANCTUARY,Aoloau Sasae,59
TUT-02274,2016,SAMOA,Tutuila,Forereef,Deep,9417,nSPC,American Samoa,TUT_NW,2016,ForereefDeep,2016-04-26,-14.286546,-170.76196,20.8,AS_SANCTUARY,Aoloau Sasae,53
TUT-01006,2015,SAMOA,Tutuila,Forereef,Deep,8226,nSPC,American Samoa,TUT_NW,2015,ForereefDeep,2015-03-04,-14.28800253,-170.78060556,23.35,AS_SANCTUARY,Aoloau Sasae,41
TUT-00008,2008,SAMOA,Tutuila,Forereef,Mid,1271,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-21,-14.29173,-170.78057,11.25,RAMP_BASIC,Aoloau Sasae,52
TUT-00057,2008,SAMOA,Tutuila,Forereef,Deep,1268,nSPC,American Samoa,Tutuila,2008,ForereefDeep,2008-02-20,-14.29015,-170.771233,21,RAMP_BASIC,Aoloau Sasae,28
TUT-00342,2010,SAMOA,Tutuila,Forereef,Shallow,2213,nSPC,American Samoa,TUT_NW,2010,ForereefShallow,2010-02-22,-14.29218,-170.7739,3,TUT10_12,Aoloau Sasae,45
TUT-00628,2012,SAMOA,Tutuila,Forereef,Shallow,4472,nSPC,American Samoa,TUT_NW,2012,ForereefShallow,2012-04-02,-14.29235945,-170.77362712,4.15,TUT10_12,Aoloau Sasae,41
TUT-00481,2010,SAMOA,Tutuila,Forereef,Mid,2230,nSPC,American Samoa,TUT_NW,2010,ForereefMid,2010-02-22,-14.29,-170.77087,9.5,TUT10_12,Aoloau Sasae,44
TUT-00303,2010,SAMOA,Tutuila,Forereef,Mid,2215,nSPC,American Samoa,TUT_NW,2010,ForereefMid,2010-02-22,-14.29028,-170.77148,13,TUT10_12,Aoloau Sasae,52
TUT-00484,2010,SAMOA,Tutuila,Forereef,Mid,2212,nSPC,American Samoa,TUT_NW,2010,ForereefMid,2010-02-22,-14.29105,-170.7765,16,TUT10_12,Aoloau Sasae,44
TUT-00457,2010,SAMOA,Tutuila,Forereef,Deep,2228,nSPC,American Samoa,TUT_NW,2010,ForereefDeep,2010-02-22,-14.28812,-170.78069,23,TUT10_12,Aoloau Sasae,28
TUT-01026,2015,SAMOA,Tutuila,Forereef,Shallow,8227,nSPC,American Samoa,TUT_NW,2015,ForereefShallow,2015-03-04,-14.29233262,-170.79328914,4.35,AS_SANCTUARY,Aoloau Sisifo,44
TUT-02296,2016,SAMOA,Tutuila,Forereef,Mid,9406,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.28733,-170.784499,13.5,AS_SANCTUARY,Aoloau Sisifo,40
TUT-02264,2016,SAMOA,Tutuila,Forereef,Deep,9410,nSPC,American Samoa,TUT_NW,2016,ForereefDeep,2016-04-26,-14.289231,-170.789957,21.85,AS_SANCTUARY,Aoloau Sisifo,38
TUT-01114,2015,SAMOA,Tutuila,Forereef,Deep,8168,nSPC,American Samoa,TUT_NW,2015,ForereefDeep,2015-03-01,-14.28939384,-170.79099485,24.5,AS_SANCTUARY,Aoloau Sisifo,48
TUT-00299,2010,SAMOA,Tutuila,Forereef,Mid,2229,nSPC,American Samoa,TUT_NW,2010,ForereefMid,2010-02-22,-14.28932,-170.79051,13.5,TUT10_12,Aoloau Sisifo,59
TUT-00291,2010,SAMOA,Tutuila,Forereef,Deep,2209,nSPC,American Samoa,TUT_NW,2010,ForereefDeep,2010-02-22,-14.29002,-170.79231,24,TUT10_12,Aoloau Sisifo,52
TUT-01023,2015,SAMOA,Tutuila,Forereef,Shallow,8170,nSPC,American Samoa,TUT_SE,2015,ForereefShallow,2015-03-02,-14.27295358,-170.56788141,2.55,AS_SANCTUARY,Auasi,31
TUT-01131,2015,SAMOA,Tutuila,Forereef,Shallow,8143,nSPC,American Samoa,TUT_SE,2015,ForereefShallow,2015-02-28,-14.27502039,-170.57524131,3.1,AS_SANCTUARY,Auasi,25
TUT-01077,2015,SAMOA,Tutuila,Forereef,Shallow,8210,nSPC,American Samoa,TUT_NE,2015,ForereefShallow,2015-03-03,-14.27114502,-170.5647221,4.05,AS_SANCTUARY,Auasi,36
TUT-01345,2015,SAMOA,Tutuila,Forereef,Mid,8142,nSPC,American Samoa,TUT_NE,2015,ForereefMid,2015-02-28,-14.26961079,-170.56327312,7,AS_SANCTUARY,Auasi,47
TUT-01094,2015,SAMOA,Tutuila,Forereef,Mid,8197,nSPC,American Samoa,TUT_SE,2015,ForereefMid,2015-03-03,-14.27632151,-170.57603692,13,AS_SANCTUARY,Auasi,58
TUT-00559,2012,SAMOA,Tutuila,Forereef,Shallow,4586,nSPC,American Samoa,TUT_SE,2012,ForereefShallow,2012-04-07,-14.27516388,-170.57548287,2.95,TUT10_12,Auasi,25
TUT-00571,2012,SAMOA,Tutuila,Forereef,Mid,4585,nSPC,American Samoa,TUT_SE,2012,ForereefMid,2012-04-07,-14.27417993,-170.57211779,7.9,TUT10_12,Auasi,42
TUT-00369,2010,SAMOA,Tutuila,Forereef,Mid,2200,nSPC,American Samoa,TUT_NE,2010,ForereefMid,2010-02-21,-14.27318,-170.56592,13,TUT10_12,Auasi,85
TUT-01071,2015,SAMOA,Tutuila,Forereef,Shallow,8615,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefShallow,2015-03-28,-14.27967737,-170.54867755,4.6,AS_SANCTUARY,Aunuu,29
TUT-01053,2015,SAMOA,Tutuila,Forereef,Shallow,8628,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefShallow,2015-03-29,-14.27851958,-170.54976208,4.75,AS_SANCTUARY,Aunuu,19
TUT-01035,2015,SAMOA,Tutuila,Forereef,Shallow,8627,nSPC,American Samoa,TUT_NE,2015,ForereefShallow,2015-03-29,-14.28632355,-170.54601881,5.45,AS_SANCTUARY,Aunuu,14
TUT-01017,2015,SAMOA,Tutuila,Forereef,Shallow,8616,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefShallow,2015-03-28,-14.28394234,-170.54528187,5.45,AS_SANCTUARY,Aunuu,24
TUT-01016,2015,SAMOA,Tutuila,Forereef,Mid,8618,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefMid,2015-03-28,-14.27857289,-170.54882289,9.1,AS_SANCTUARY,Aunuu,42
TUT-01207,2015,SAMOA,Tutuila,Forereef,Mid,8609,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefMid,2015-03-28,-14.28520977,-170.54547851,9.75,AS_SANCTUARY,Aunuu,30
TUT-01221,2015,SAMOA,Tutuila,Forereef,Mid,8617,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefMid,2015-03-28,-14.28243703,-170.54547759,11.8,AS_SANCTUARY,Aunuu,28
TUT-01106,2015,SAMOA,Tutuila,Forereef,Mid,8636,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefMid,2015-03-29,-14.27903046,-170.54739126,12.5,AS_SANCTUARY,Aunuu,32
TUT-01052,2015,SAMOA,Tutuila,Forereef,Mid,8634,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefMid,2015-03-29,-14.27995616,-170.54644939,13.25,AS_SANCTUARY,Aunuu,36
TUT-01159,2015,SAMOA,Tutuila,Forereef,Mid,8629,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefMid,2015-03-29,-14.27731728,-170.54777591,13.45,AS_SANCTUARY,Aunuu,39
TUT-01088,2015,SAMOA,Tutuila,Forereef,Mid,8612,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefMid,2015-03-28,-14.27702383,-170.54617488,15.4,AS_SANCTUARY,Aunuu,44
TUT-01142,2015,SAMOA,Tutuila,Forereef,Mid,8610,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefMid,2015-03-28,-14.27612051,-170.54831645,16.25,AS_SANCTUARY,Aunuu,43
TUT-01175,2015,SAMOA,Tutuila,Forereef,Mid,8613,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefMid,2015-03-28,-14.27911093,-170.54459405,17.25,AS_SANCTUARY,Aunuu,48
TUT-01368,2015,SAMOA,Tutuila,Forereef,Deep,8141,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefDeep,2015-02-28,-14.28050995,-170.54277107,19.5,AS_SANCTUARY,Aunuu,55
TUT-01069,2015,SAMOA,Tutuila,Forereef,Deep,8196,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefDeep,2015-03-03,-14.27730655,-170.53832933,21.5,AS_SANCTUARY,Aunuu,35
TUT-01349,2015,SAMOA,Tutuila,Forereef,Deep,8145,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefDeep,2015-02-28,-14.27493883,-170.5390604,21.75,AS_SANCTUARY,Aunuu,44
TUT-01383,2015,SAMOA,Tutuila,Forereef,Deep,8608,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefDeep,2015-03-28,-14.28037927,-170.54094943,21.95,AS_SANCTUARY,Aunuu,45
TUT-01362,2015,SAMOA,Tutuila,Forereef,Deep,8198,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefDeep,2015-03-03,-14.28297515,-170.53911966,22.15,AS_SANCTUARY,Aunuu,35
TUT-01141,2015,SAMOA,Tutuila,Forereef,Deep,8626,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefDeep,2015-03-29,-14.28530842,-170.53766725,22.4,AS_SANCTUARY,Aunuu,39
TUT-01234,2015,SAMOA,Tutuila,Forereef,Deep,8625,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefDeep,2015-03-29,-14.28213688,-170.53629907,23.85,AS_SANCTUARY,Aunuu,23
TUT-01290,2015,SAMOA,Tutuila,Forereef,Deep,8637,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefDeep,2015-03-29,-14.27849947,-170.53839924,24.1,AS_SANCTUARY,Aunuu,27
TUT-01015,2015,SAMOA,Tutuila,Forereef,Deep,8614,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefDeep,2015-03-28,-14.27832395,-170.53590252,25.5,AS_SANCTUARY,Aunuu,24
TUT-01356,2015,SAMOA,Tutuila,Forereef,Deep,8211,nSPC,American Samoa,AUNUU_SANCTUARY_B,2015,ForereefDeep,2015-03-03,-14.27895259,-170.53535501,26.4,AS_SANCTUARY,Aunuu,39
TUT-01111,2015,SAMOA,Tutuila,Forereef,Deep,8607,nSPC,American Samoa,TUT_NE,2015,ForereefDeep,2015-03-28,-14.2903814,-170.5452216,28.5,AS_SANCTUARY,Aunuu,51
TUT-00066,2008,SAMOA,Tutuila,Forereef,Shallow,1286,nSPC,American Samoa,Tutuila,2008,ForereefShallow,2008-02-23,-14.277267,-170.557533,4.5,RAMP_BASIC,Aunuu,53
TUT-00016,2008,SAMOA,Tutuila,Forereef,Mid,1284,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-23,-14.28551,-170.56406,10.25,RAMP_BASIC,Aunuu,57
TUT-00212,2010,SAMOA,Tutuila,Forereef,Shallow,2204,nSPC,American Samoa,TUT_NE,2010,ForereefShallow,2010-02-21,-14.27632,-170.5538,5.5,TUT10_12,Aunuu,33
TUT-00531,2012,SAMOA,Tutuila,Forereef,Mid,4575,nSPC,American Samoa,TUT_NE,2012,ForereefMid,2012-04-07,-14.29285724,-170.55654035,8.8,TUT10_12,Aunuu,26
TUT-00356,2010,SAMOA,Tutuila,Forereef,Mid,2161,nSPC,American Samoa,TUT_NE,2010,ForereefMid,2010-02-19,-14.2757,-170.55298,10.5,TUT10_12,Aunuu,65
TUT-00580,2012,SAMOA,Tutuila,Forereef,Mid,4574,nSPC,American Samoa,TUT_NE,2012,ForereefMid,2012-04-07,-14.28012404,-170.5467031,12.55,TUT10_12,Aunuu,23
TUT-00321,2010,SAMOA,Tutuila,Forereef,Mid,2203,nSPC,American Samoa,TUT_NE,2010,ForereefMid,2010-02-21,-14.28659,-170.54605,15,TUT10_12,Aunuu,48
TUT-00324,2010,SAMOA,Tutuila,Forereef,Deep,2199,nSPC,American Samoa,TUT_NE,2010,ForereefDeep,2010-02-21,-14.28659,-170.53894,21,TUT10_12,Aunuu,34
TUT-00510,2012,SAMOA,Tutuila,Forereef,Deep,4573,nSPC,American Samoa,TUT_NE,2012,ForereefDeep,2012-04-07,-14.28034767,-170.54164982,21.25,TUT10_12,Aunuu,41
TUT-00218,2010,SAMOA,Tutuila,Forereef,Deep,2167,nSPC,American Samoa,TUT_NE,2010,ForereefDeep,2010-02-19,-14.27984,-170.56089,22.5,TUT10_12,Aunuu,39
TUT-00518,2012,SAMOA,Tutuila,Forereef,Deep,4572,nSPC,American Samoa,TUT_NE,2012,ForereefDeep,2012-04-07,-14.27187868,-170.54048088,24.15,TUT10_12,Aunuu,52
